sample_id,stage,image_file,scale_factor,spot_diameter
20221010-1_1,primary,20221010-1_1.png,0.22563177,15.941556933174597
20221010-1_2,mrd7,20221010-1_2.png,0.22563177,15.93329339523012
20221010-1_3,mrd12,20221010-1_3.png,0.22563177,15.933093485481898
20221010-1_4,relapsed,20221010-1_4.png,0.22563177,15.943632745458608
20221010-2_5,primary,20221010-2_5.png,0.22563177,15.954397637205298
20221010-3_9,primary,20221010-3_9.png,0.22563177,15.962028503666692
20221010-4_13,primary,20221010-4_13.png,0.22563177,15.952064604703505
20221010-4_14,mrd7,20221010-4_14.png,0.22563177,15.958302420616922
20221010-4_15,mrd12,20221010-4_15.png,0.22563177,15.961440507274082
20221010-4_16,relapsed,20221010-4_16.png,0.22563177,15.957025119166952
20230607-1_1,primary,20230607-1_1.png,0.22563177,15.941362889852394
20230607-2_5,primary,20230607-2_5.png,0.22563177,15.943930579395001
20230607-2_8,mrd12,20230607-2_8.png,0.22563177,15.940618305011402
