niche,stage,mean_difference,ci_low,ci_high,direction_confidence,n_stage,n_primary
N0,mrd7,-0.0394647865882434,-0.04667744125464006,-0.029791417145745534,1.0,2,4
N0,mrd12,0.059300425041849215,0.0018673593148179808,0.11563525174578249,0.9965,3,6
N0,relapsed,-0.023514209195173774,-0.04058361298404096,-0.0064448054063065904,0.999,2,4
N1,mrd7,0.1008700062153198,0.08817272121377948,0.11356729121686011,1.0,2,4
N1,mrd12,0.039127242788329165,0.010775300793242822,0.06745162309344796,1.0,3,6
N1,relapsed,0.006770917752596588,0.004410917932879956,0.009185252628431291,1.0,2,4
N10,mrd7,-0.1617266075606076,-0.1681783086588361,-0.15469347200040626,1.0,2,4
N10,mrd12,-0.11188084502246702,-0.12609733043281598,-0.09757867173988012,1.0,3,6
N10,relapsed,-0.056287606602777526,-0.0849092190470751,-0.02766599415847998,1.0,2,4
N11,mrd7,0.18910174685166642,0.1774480203205862,0.20075547338274663,1.0,2,4
N11,mrd12,0.08424862534736118,0.03886383989216365,0.12920229538449413,1.0,3,6
N11,relapsed,0.0013383010063011506,-0.007896405197530432,0.01057300721013274,0.6105,2,4
N12,mrd7,0.02121106516726825,0.017439982160938138,0.02498214817359836,1.0,2,4
N12,mrd12,0.018216038087085443,0.013714299968976376,0.022965017167694692,1.0,3,6
N12,relapsed,0.000752299728675798,-0.002354907962731929,0.0040059733318269924,0.6345,2,4
N2,mrd7,0.016464431772729687,0.010064973914250777,0.022863889631208584,1.0,2,4
N2,mrd12,-0.0057651580421847716,-0.010662400163387542,-0.0010568049078648288,0.994,3,6
N2,relapsed,0.013952150446716313,0.007142431785533046,0.020761869107899553,1.0,2,4
N4,mrd7,0.05989461258418001,0.04646678147246244,0.07332244369589758,1.0,2,4
N4,mrd12,0.017127973393012558,-0.0014611088321265717,0.037011858695243156,0.9615,3,6
N4,relapsed,0.022085377237589937,0.009502192869113385,0.03289627652829549,1.0,2,4
N5,mrd7,-0.32790097405633656,-0.3746350768251712,-0.28116687128750195,1.0,2,4
N5,mrd12,-0.14910105530705062,-0.24752994802538766,-0.053374155723687325,1.0,3,6
N5,relapsed,0.028950856513208667,-0.015597485648902731,0.07450454754136199,0.8535,2,4
N7,mrd7,0.08279107810797151,0.07416330781442171,0.09137043345977666,1.0,2,4
N7,mrd12,0.028653223688933988,0.012380019853123527,0.04498790555769242,1.0,3,6
N7,relapsed,0.0006854393848797239,-0.0024105389219747997,0.0037403465574548968,0.751,2,4
N8,mrd7,-0.00811675509372911,-0.017338426472587876,0.00044572727798865286,0.9445,2,4
N8,mrd12,-0.0027979939173255614,-0.008486513955572266,0.002818015172590539,0.8145,3,6
N8,relapsed,0.015668505516153546,-0.012523947642963641,0.04386095867527073,0.756,2,4
N9,mrd7,0.06687618259978098,0.055359027573340686,0.07839333762622128,1.0,2,4
N9,mrd12,0.022871523942456465,-3.271152878744237e-05,0.04598952597226639,0.9735,3,6
N9,relapsed,-0.01040203178817044,-0.01795533889198654,-0.002739921895821,1.0,2,4
