niche,mrd7:abundance,mrd7:emt,mrd7:proliferation,mrd7:hypoxia,mrd7:immune,mrd7:fibroblast,mrd7:macrophage,mrd7:tumour,mrd12:abundance,mrd12:emt,mrd12:proliferation,mrd12:hypoxia,mrd12:immune,mrd12:fibroblast,mrd12:macrophage,mrd12:tumour,relapsed:abundance,relapsed:emt,relapsed:proliferation,relapsed:hypoxia,relapsed:immune,relapsed:fibroblast,relapsed:macrophage,relapsed:tumour
N0,-1.0384669307680539,4.885710845528976,1.5145827517836135,-1.526657867987971,3.6295884938330927,2.2273421409394003,4.081978943702684,1.712241083623711,-0.29343457326076555,2.4981680288907038,4.560334887429236,-1.9388373730017399,2.9721614792472892,1.034738913957434,1.3684842515811313,2.76936080157731,-0.44081237533814566,1.5142500857157941,5.226628099513494,-1.6697393160423286,2.090679212105878,0.2837134597470683,0.586747877558022,3.8384026905035133
N1,1.9007653785312557,5.359218161232697,1.1714732589762074,-3.193350415646682,4.889070829395828,2.00470344358265,6.661302358338407,1.0111209073093201,1.0188782637746854,4.767419998123059,2.181336058179466,-2.9938358056160816,4.341077658871134,1.85464945334291,4.4908296909023155,1.4554341156413537,0.7287967811609617,2.7474931009896313,4.459767095178337,-3.524971958388349,3.642988140744295,0.7990248767479948,3.441092377302808,2.5247494605409573
N10,-2.2739916092530947,4.186128039574007,1.7895444925945354,-4.608735103432163,3.1447452321859117,1.4125709112784568,3.249991366308636,2.4841931536321438,-1.3582289334497606,2.536235182463793,4.054309970059861,-4.921125673933545,2.738276172417461,0.796245166819635,1.0820877065090055,3.0352555637505056,-0.6209251265726561,1.163445192298615,4.464289231967406,-3.897609112361614,1.648701517207504,0.14485846070152686,0.20790514491183246,4.216602691574552
N11,0.9454378182708807,5.8792994476431,0.5210182409258881,-0.8523083886461804,4.284528697735126,2.484647026113029,5.089228580867985,1.1465803635098442,0.43295674589910976,4.1787427547232285,3.0179125256304307,-1.23010236364545,3.7408733336430817,1.816047839484136,2.9303236103168984,1.8664661366337636,-0.002631071457163958,2.7481872869483617,4.619139980590824,-1.1612995021285162,3.2765905520376775,0.7593825359761381,2.0457555632523223,2.7767375927505444
N12,1.6630996669319802,5.890625775152415,0.5465948656712003,-1.5505171789722727,4.446675556824115,2.7878832935289894,5.016871462638763,0.8140095662858284,1.2915588400787563,4.684118269720188,2.3231556151429835,-1.906353711259171,4.403949349188335,1.66502905228675,2.4373616564713902,1.412658633382757,0.660660958951188,2.662871077910408,4.5673488597357945,-1.8405004588706662,3.3152370080074167,0.7221876093968134,1.9231482483066187,2.744989492521949
N2,-0.28919550709428704,6.92898226999585,1.012066893784644,-2.46539165852126,2.881796970820515,1.3371352520411368,3.168963268344448,2.730226918969702,-0.40369458420939885,4.559156550152358,2.9250751311031338,-2.8113072729290223,2.738565059370186,0.8686708652536898,1.6097660479350147,3.0376143965584617,-0.009098519735596194,2.794056219868233,4.141417946313232,-2.4297010730378776,1.6688695579059383,0.2253871798199465,0.35250530444436984,4.16002303100181
N4,-0.3175540387627075,4.3631530536132095,2.4269364342070263,-2.0440761474557334,3.5628224315027186,1.7867710877452478,4.042713214497203,1.9945956068330801,-0.3257840492895181,2.76357003344744,4.179059844665299,-2.216235954430225,3.1611444490695426,1.377697516260597,2.2308641652133168,2.4639161792965134,-0.16992357348742593,1.70869174969082,5.130827759798077,-2.2607651720139184,2.2139983371025096,0.42249644356159444,0.8753683654641019,3.6648595802632387
N5,-2.445512339764557,3.398093532775843,3.7131753424598255,-0.933153796358349,2.9375106213058215,1.355568003388866,2.7296226506358945,2.6603220618372543,-1.351749256478316,1.699450570141454,5.1123007763657595,-1.281757940092257,2.65121526813639,0.6453486952855721,0.9783916780057189,3.197741383310735,-0.4239664083154565,1.2266571835068376,5.503977178891146,-0.9191981382425211,1.8642421403018679,0.18755680020875015,0.26582406889381655,4.028006310717421
N7,1.562939349343113,6.142499039893253,0.2259653246212111,-2.1098447402453853,3.7979846186271944,4.082034311215122,4.782546254012953,0.7537651270666959,0.8650679220901162,4.449836130023429,2.3073481855127325,-2.1675754537596874,3.561504962967802,2.918786583861568,3.207241514994657,1.4588745555900064,0.29673929728429826,2.3273471164846358,4.6147032395085,-2.5949546258808622,2.842762527118964,0.9593564856675949,1.9649274013051379,3.0086074832267076
N8,-0.44675765392626365,6.992681408549062,0.6903549517165154,-1.7900387872367134,3.0083549655032846,1.6797338946223466,3.2410470124454083,2.4132775065938934,-0.11660552413659975,3.21212321465633,3.66996357382968,-2.4109306822526833,2.8593649442871225,0.8845925533509069,1.4301645066124464,2.9138375890545087,0.2639071350665086,1.9801772029213307,4.7703051341880816,-2.028757889058882,1.9348751647301545,0.19387421518087156,0.42696526961676884,3.9863292305321885
N9,0.7392358664917345,5.673595105390659,0.9306811565692722,-4.83630107784693,4.2516675878013395,2.889801370421912,5.520037759969195,1.0268195399491398,0.24103514898169398,4.495180171286942,2.589216091767081,-4.44842792896753,3.7934232480338914,2.538005928573488,3.614782845506294,1.5052750132545978,-0.2827470975565145,3.2872088523734444,4.074285393138501,-5.095591826148942,3.1591311381678033,1.2145305479108455,2.584838500722124,2.6704646631694677
