niche,N0,N1,N10,N11,N12,N2,N4,N5,N7,N8,N9
N0,1.0,0.003,0.997,0.016,0.003,0.997,0.964,0.997,0.003,0.997,0.003
N1,0.003,1.0,0.0,0.987,1.0,0.0,0.035,0.0,1.0,0.0,1.0
N10,0.997,0.0,1.0,0.013,0.0,1.0,0.965,1.0,0.0,1.0,0.0
N11,0.016,0.987,0.013,1.0,0.987,0.013,0.048,0.013,0.987,0.013,0.987
N12,0.003,1.0,0.0,0.987,1.0,0.0,0.035,0.0,1.0,0.0,1.0
N2,0.997,0.0,1.0,0.013,0.0,1.0,0.965,1.0,0.0,1.0,0.0
N4,0.964,0.035,0.965,0.048,0.035,0.965,1.0,0.965,0.035,0.965,0.035
N5,0.997,0.0,1.0,0.013,0.0,1.0,0.965,1.0,0.0,1.0,0.0
N7,0.003,1.0,0.0,0.987,1.0,0.0,0.035,0.0,1.0,0.0,1.0
N8,0.997,0.0,1.0,0.013,0.0,1.0,0.965,1.0,0.0,1.0,0.0
N9,0.003,1.0,0.0,0.987,1.0,0.0,0.035,0.0,1.0,0.0,1.0
