sample_id,stage,treatment,batch,slide,parental_tumor,niche,emt,proliferation,hypoxia,immune,fibroblast,macrophage,tumour,n_spots,abundance
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N0,0.12801269349595962,0.2932031143278188,1.375973134913009,0.12351212386027177,0.04431527202518861,0.035056398552092534,0.8017979739633447,194,0.008842527608758873
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N1,0.16548264253670614,0.3053748779409301,1.07234595269025,0.23275108451898247,0.09106175509905191,0.1400246734636929,0.6348872742715838,543,0.022604205869930196
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N2,0.2986965093975113,0.16021858470134007,1.3353629557690454,0.05613810713830633,0.016950441050327104,0.01499641848167716,0.9186996407394955,985,0.1239900517041855
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N4,0.11002782650093311,0.379521611451768,-0.050542156849914026,0.12093825535118025,0.08600126060722628,0.05605690076944996,0.7554851889563411,823,0.09210650296067259
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N5,0.04587356876734256,0.4509030446183943,-0.5324064624880731,0.06072917645335358,0.021600811961327918,0.015069497311265102,0.9047332389566702,1034,0.2078445306320862
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N7,0.22562983017408011,0.2911357848168655,0.10177121366617933,0.18399137741470462,0.1710467139257758,0.07485076203791956,0.5682409803585642,342,0.017202143671794633
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N8,0.12074789233403271,0.3133878698317017,0.8560136385324515,0.058218780596924015,0.01892021784089362,0.015353331652841029,0.9125799851418953,1441,0.3389277837873591
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N9,0.17860571108111034,0.2505973576418902,2.062056691707133,0.15527041343258063,0.1438412734054083,0.0853295903990107,0.6205081749407659,502,0.027071310828077018
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N10,0.09957674664721936,0.21139139505011362,4.573402636201968,0.04508711478983083,0.012581285690297987,0.013595764476839554,0.9339970191145034,690,0.0728655449537774
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N11,0.18963929772135324,0.3070205258474577,0.2713486687989522,0.16163708644937838,0.09676824494586621,0.07887028372446725,0.7013970099209877,779,0.07766322725128132
20220401-1_1,primary,no_treatment,2022/04/01,V11Y17-036,1,N12,0.15288001416348512,0.33733209775292733,-0.12822226311208013,0.2948516477137206,0.11676452501687246,0.12496187367861163,0.5369405791534833,260,0.010882170732077182
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N0,0.06209410011617034,0.4026653493870438,-0.41667278977927286,0.09905056812345714,0.025510050225490695,0.022410181223610083,0.8615870939548619,98,0.011968050942426249
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N1,0.1391793320593314,0.33423077954713387,-0.14161825564144745,0.190585569544335,0.09724433488808598,0.09950416638060834,0.6813817618196654,257,0.01926465976306049
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N2,0.2555904613198959,0.19476613804217263,0.2709630522494701,0.06534986356496647,0.023897537466757768,0.0150543912333952,0.9026514968426671,485,0.1178312349899263
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N4,0.09076039081545645,0.4020424595253338,-0.761313931979548,0.12808146272202275,0.09044584388034409,0.049543418100407056,0.7506240086026699,440,0.10119624620209913
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N5,0.040022050733945505,0.45353795055798934,-0.9863682076906609,0.07254182077308399,0.027431351500717648,0.01505929965872673,0.8865217094057674,549,0.2119819867744898
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N7,0.10809506284701235,0.37758188771929824,-0.5326226804415158,0.1724517250210719,0.1398753291226491,0.0851081268531696,0.6481448430997475,212,0.014324522478642762
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N8,0.10521142825381025,0.3453300029537091,-0.26873619909318425,0.072351323540794,0.030221837767825284,0.01630363963001519,0.8852557557004593,750,0.35242684937480173
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N9,0.1276175679699425,0.34637929997077843,-0.04367325598125093,0.16101324580185522,0.13018322238839794,0.07678989329251808,0.665884736892609,260,0.023627490454723232
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N10,0.08844583319003821,0.2756233214087772,2.768721812999691,0.05716354934176433,0.008479523999515182,0.010832376213363443,0.927408647947828,337,0.05893723018123915
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N11,0.15902173687688476,0.32927239796902463,-0.43885057289810253,0.15764684887835986,0.10103377350572909,0.06784561865498416,0.7132616204530202,379,0.07723212380606943
20220401-1_2,primary,no_treatment,2022/04/01,V11Y17-036,1,N12,0.08366131147202419,0.4078113285156341,-0.6201571515348131,0.18669460353573986,0.1068059256279783,0.07292354140761993,0.6709757009237494,143,0.01120960503252174
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N0,0.4586871905006448,0.03489414384085569,0.5792941252099245,0.7404213476220172,0.1318834628225734,0.35469006776934947,0.10943618348043989,565,0.03735542500876872
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N1,0.3499652763688267,0.03404139437775805,0.8986956331407985,0.7700674023077996,0.1458253994294532,0.5422013993276307,0.06952152097619566,736,0.14803851839224272
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N2,0.7294085129980746,0.01327220197824316,0.6219534460544035,0.5232464800212183,0.11606870670073498,0.29727372943234853,0.3505124540368839,611,0.07705365210377028
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N4,0.607486226891813,0.022272415121087966,0.6056003771391327,0.6394048526707041,0.14009443242210398,0.3593350264799529,0.20668268786838798,757,0.09485556617999717
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N5,0.39070309048043533,0.06445606503956805,-0.07680234501017374,0.7958238354827747,0.09523592542366884,0.1861940496072268,0.08902179776340624,168,0.01367130927006011
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N7,0.27883076918666827,0.036626389149859044,0.8503672142894889,0.7049016752501694,0.206878155914311,0.44052181759231873,0.05709960708095249,588,0.13169000010605234
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N8,0.6997230656423603,0.020931074624214948,0.5569972712250911,0.5004136591492303,0.12261068123123103,0.25357567480439946,0.36130329399170513,398,0.03151388224495836
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N9,0.5321318100989282,0.02223957525185996,0.6552523402823374,0.6829260676203232,0.16037512781972135,0.36504141446089344,0.1392958499402444,808,0.09200203331871964
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N10,0.40322661102200513,0.05068465770431952,0.8853559712365723,0.5697156205563606,0.21347282352410518,0.28619696916329296,0.1612817874873509,205,0.0069451392958008095
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N11,0.5017611025550107,0.02837879848692559,0.5368818777218861,0.7126834924631525,0.12757772127456316,0.3607010644281721,0.1468928146806945,1008,0.2787122737917423
20220401-1_3,mrd12,TAC_regimen,2022/04/01,V11Y17-036,1,N12,0.3921024399777728,0.04040976780266728,0.3156584293733781,0.7709390660469265,0.14195254527376788,0.29987742329899436,0.06897739661336948,579,0.08816220028788756
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N0,0.022179368348089416,0.5044401731691631,-0.3848201260456128,0.058049798540111545,0.015561927543110752,0.014922856838897613,0.9120806245588435,104,0.013298043510237152
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N1,0.043864445199474994,0.4742400321348639,0.0022067619396688516,0.1407308945488855,0.048641147510610265,0.046643978749831366,0.7691652402220064,135,0.009290474023944324
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N2,0.0471775652374643,0.40799880804344224,0.27892837878703697,0.04546196135161898,0.01458508057567029,0.010720348160610405,0.927956439523022,248,0.030566507033645107
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N4,0.021440575089253896,0.4822782784631251,-0.35445924621419966,0.05203237431009178,0.020234402742589593,0.012999431163903598,0.906068577715357,208,0.05081141360650773
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N5,0.015099692941716975,0.5260188521292911,-0.4314543577752327,0.03161835229137575,0.007214435422216976,0.006511157733222225,0.9502478161800207,431,0.286366743543821
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N7,0.09684304052903059,0.3889888482499434,0.3243475358444514,0.2031242140442908,0.11715727374936451,0.06874578360226642,0.5868391478864047,64,0.00823041691795202
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N8,0.01997493391659017,0.48536217884069105,0.032640598343538996,0.03766913325069787,0.00938461972764388,0.00838494505900034,0.9414751353066374,471,0.5012839340355232
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N9,0.057185047302572026,0.458114875984511,0.21385861957282634,0.1430932768607269,0.06548626844805576,0.049712546829586785,0.7323635619602685,132,0.014244823328927675
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N10,0.021810218302837286,0.3846801246985413,2.159001001166482,0.02514562438319829,0.003873310821329978,0.00420970208196165,0.9653711485106478,220,0.041926461034766625
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N11,0.0581735673717293,0.4659455444001475,-0.0334164093988626,0.14851634481069603,0.05302212729439038,0.05003025120444898,0.7556178112582885,155,0.0351640924579399
20220401-2_6,primary,no_treatment,2022/04/01,V11Y17-037,1,N12,0.06611950538829496,0.45770373902566874,0.10331627973367105,0.21563592766653913,0.07667308135533615,0.06928377553529098,0.6343017396566041,80,0.008817090506735376
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N0,0.067926617717739,0.31792460936533856,1.3403978200654694,0.06252737809489596,0.03397295938134541,0.011631716905349261,0.8868267192514374,32,0.0018456920061662972
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N1,0.15543467629277888,0.37097727656550067,-0.0015611236847559076,0.35788420578120944,0.10050342707129567,0.20910877003170497,0.5091372143198358,224,0.029552123035244286
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N2,0.19188572420764563,0.2831950947031096,-0.02288338565898589,0.10316686894847996,0.02807159089995733,0.03627342346538141,0.8563556518502655,290,0.07915696063252498
20220401-2_7,primary,no_treatment,2022/04/01,V11Y17-037,1,N4,0.08515649181627426,0.4572209191930599,-0.4175007539046195,0.16575660957714433,0.06815455158315553,0.06916142339324938,0.7302138571847329,293,0.08267382187973868
